,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
35,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Voulez-Vous,7iLuHJkrb9KHPkMgddYigh,3vkQ5DAB1qQMYO4Mr9zJN6,83,1979,292613,False,https://open.spotify.com/track/3vkQ5DAB1qQMYO4Mr9zJN6,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528
36,"Kaavaalaa (From ""Jailer"")","Anirudh Ravichander, Shilpa Rao, Arunraja Kamaraj","Kaavaalaa (From ""Jailer"")",2zyHoHE002bpKqLY52nbAs,3M9G4jJAgDLB9ycinua8Wo,83,2023-07-06,190909,False,https://open.spotify.com/track/3M9G4jJAgDLB9ycinua8Wo,0.844,0.759,11,-6.829,0,0.0498,0.0386,0.0731,0.0813,0.479,131.913
37,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")","Pritam, Arijit Singh, Amitabh Bhattacharya","O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",7kXEDaT5yy8IUT7Fmqs1i2,0czcoKJbJt08NqKrvSbbz7,82,2023-03-04,313051,False,https://open.spotify.com/track/0czcoKJbJt08NqKrvSbbz7,0.582,0.418,7,-8.701,1,0.0288,0.794,0.0,0.109,0.243,112.909
38,love nwantiti (ah ah ah),CKay,CKay The First,6lheAtw3IcJvflIhLbykih,2Xr1dTzJee307rmrkt8c0g,82,2019-08-30,145800,True,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005
39,Señorita,"Shawn Mendes, Camila Cabello",Shawn Mendes (Deluxe),0xzScN8P3hQAz3BT3YYX5w,6v3KW9xbzN5yKLt9YKDYA2,82,2019-06-19,190800,False,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967
40,No Love,Shubh,No Love,5Zcgog7sQ79ISF32y9nABU,08Isz2ETWSBhvIl8UpKYsp,82,2022-02-22,170388,False,https://open.spotify.com/track/08Isz2ETWSBhvIl8UpKYsp,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034
41,Excuses,"AP Dhillon, Gurinder Gill, Intense",Excuses,3GkXRRRkV3rfgwG1wJset9,29m79w9xPMH4YCD6r8JSmV,82,2020-07-24,176233,False,https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV,0.837,0.717,5,-7.749,0,0.0822,0.0842,0.0,0.149,0.494,94.984
42,Makeba,Jain,Zanaka (Deluxe),2rb6C1wUwk7hFOVmfgt19k,4TNFLwe6DhtR3Wn1JKMqMJ,81,2016-11-25,248987,False,https://open.spotify.com/track/4TNFLwe6DhtR3Wn1JKMqMJ,0.825,0.663,2,-9.414,1,0.0687,0.423,0.415,0.286,0.417,116.051
43,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),4LyiYe4wZ6XwzUne79hidF,0mBP9X2gPCuapvpZ7TGDk3,81,2022-06-24,154487,False,https://open.spotify.com/track/0mBP9X2gPCuapvpZ7TGDk3,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058
44,Kahani Suno 2.0,Kaifi Khalil,Kahani Suno 2.0,6BHlJhCk1vjCG6hqTG2SFV,4VsP4Dm8gsibRxB5I2hEkw,81,2022-05-31,173638,False,https://open.spotify.com/track/4VsP4Dm8gsibRxB5I2hEkw,0.577,0.379,11,-13.235,1,0.0374,0.909,0.000586,0.0986,0.26,139.585
